epoch,train_loss,train_iou,val_loss,val_iou,val_f1,val_precision,val_recall
1,0.260708,0.031275,0.144739,0.093618,0.150970,0.468330,0.100364
2,0.118156,0.134911,0.098746,0.290887,0.416830,0.570378,0.387280
3,0.082282,0.240868,0.068754,0.264622,0.386340,0.844247,0.280091
4,0.064151,0.332504,0.059235,0.363960,0.510921,0.868753,0.386545
5,0.054223,0.412946,0.048441,0.528358,0.675024,0.737550,0.641949
6,0.046764,0.487449,0.043258,0.544763,0.688778,0.767597,0.649886
7,0.042091,0.510715,0.037829,0.576111,0.717066,0.789789,0.682876
8,0.037728,0.541929,0.035647,0.583262,0.721218,0.803559,0.673591
9,0.035384,0.553682,0.034023,0.564964,0.707034,0.855497,0.620295
10,0.033502,0.566681,0.032027,0.599729,0.737521,0.777854,0.727027
11,0.031512,0.579694,0.031906,0.600642,0.739200,0.793138,0.710607
12,0.030563,0.584740,0.031265,0.586145,0.723689,0.826015,0.665372
13,0.029337,0.592151,0.028785,0.618346,0.751892,0.834934,0.701690
14,0.027733,0.610467,0.028590,0.621692,0.755495,0.780848,0.750385
15,0.027512,0.611426,0.030390,0.602604,0.738658,0.819035,0.697535
16,0.026439,0.620631,0.028478,0.617747,0.750455,0.820397,0.708388
17,0.025760,0.621697,0.030457,0.603293,0.738681,0.839761,0.682469
18,0.026209,0.616083,0.027323,0.640872,0.772006,0.769460,0.790710
19,0.025240,0.624477,0.027513,0.632860,0.764819,0.781483,0.770431
20,0.024652,0.630250,0.025307,0.640758,0.770236,0.864758,0.711502
21,0.025257,0.622069,0.026138,0.648328,0.776922,0.813366,0.761537
22,0.023557,0.642170,0.025717,0.653517,0.781257,0.812007,0.767964
23,0.023205,0.645232,0.024788,0.655762,0.781957,0.821787,0.762761
24,0.022642,0.651083,0.025729,0.645306,0.772760,0.856911,0.723335
25,0.022601,0.651693,0.024724,0.662579,0.786322,0.833614,0.761007
26,0.022072,0.658797,0.026087,0.654464,0.781719,0.842657,0.743389
27,0.022428,0.648976,0.024703,0.658600,0.783975,0.835797,0.754376
28,0.022240,0.655710,0.025320,0.646671,0.774296,0.869102,0.715802
29,0.021812,0.657514,0.026056,0.657806,0.784109,0.837541,0.752191
30,0.022235,0.656404,0.025043,0.660434,0.785803,0.840061,0.753230
