epoch,train_loss,train_iou,val_loss,val_iou,val_f1,val_precision,val_recall
1,0.872836,0.151233,0.775555,0.306787,0.460226,0.319997,0.870782
2,0.672138,0.382489,0.523409,0.469703,0.627259,0.525883,0.806123
3,0.460938,0.486595,0.374071,0.545049,0.693225,0.644930,0.769481
4,0.366915,0.529255,0.374794,0.531027,0.674455,0.654793,0.737887
5,0.326130,0.555137,0.300353,0.613397,0.749791,0.737878,0.778553
6,0.293077,0.582479,0.273116,0.613258,0.749150,0.742882,0.776206
7,0.284761,0.586617,0.263962,0.613919,0.750298,0.764370,0.757810
8,0.272873,0.596234,0.278004,0.595641,0.734753,0.759229,0.739829
9,0.263351,0.606473,0.251400,0.623343,0.758593,0.752173,0.782868
10,0.250256,0.619776,0.251489,0.625944,0.759111,0.821006,0.723753
11,0.242096,0.629632,0.248371,0.632138,0.763999,0.766345,0.782390
12,0.244347,0.625817,0.244471,0.630721,0.763508,0.779626,0.766910
13,0.239746,0.630201,0.235195,0.642273,0.772320,0.791021,0.770397
14,0.233721,0.636689,0.229488,0.647091,0.777007,0.786154,0.782305
15,0.231674,0.639011,0.227644,0.651324,0.778693,0.790437,0.782707
16,0.223622,0.648047,0.227995,0.650667,0.778179,0.838867,0.740737
17,0.236312,0.632363,0.226551,0.648750,0.778555,0.762074,0.809692
18,0.220178,0.652233,0.212632,0.669330,0.792690,0.785983,0.813869
19,0.214692,0.659763,0.219678,0.659118,0.784817,0.820331,0.767378
20,0.217625,0.655456,0.230915,0.646218,0.773355,0.860353,0.722840
21,0.215534,0.657786,0.214853,0.665976,0.789215,0.820154,0.776699
22,0.213298,0.659535,0.218207,0.660099,0.785252,0.807916,0.780232
23,0.209263,0.665562,0.208284,0.673332,0.795441,0.839413,0.770649
24,0.204408,0.672539,0.212636,0.667758,0.790993,0.832982,0.768236
25,0.207214,0.668689,0.211162,0.668423,0.792031,0.803899,0.794931
26,0.205001,0.670731,0.219485,0.658755,0.784335,0.797819,0.787822
27,0.201524,0.675190,0.212625,0.667926,0.791064,0.843303,0.759043
28,0.198976,0.678100,0.208318,0.673118,0.794944,0.811020,0.793475
29,0.195153,0.683918,0.210086,0.669404,0.792831,0.799587,0.802384
30,0.189146,0.691606,0.196337,0.688589,0.807173,0.824189,0.804348
