epoch,train_loss,train_iou,val_loss,val_iou,val_f1,val_precision,val_recall
1,0.009869,0.057263,0.005330,0.190086,0.294198,0.823755,0.195796
2,0.004851,0.217943,0.004106,0.365377,0.510471,0.849476,0.387367
3,0.004084,0.310499,0.003918,0.483223,0.627480,0.804043,0.542356
4,0.003736,0.355950,0.003463,0.415276,0.562257,0.901428,0.432235
5,0.003461,0.395138,0.003314,0.431303,0.577923,0.908767,0.447424
6,0.003237,0.428050,0.003327,0.497258,0.641000,0.872756,0.534353
7,0.003124,0.449316,0.003118,0.466419,0.613925,0.927257,0.482406
8,0.002992,0.477303,0.002941,0.504382,0.648423,0.905376,0.532583
9,0.003008,0.476498,0.003062,0.523463,0.666880,0.893243,0.556588
10,0.002829,0.498833,0.002894,0.547483,0.689238,0.898901,0.579725
11,0.002643,0.524824,0.002873,0.526998,0.668995,0.917314,0.551825
12,0.002766,0.507126,0.002802,0.539564,0.680046,0.910762,0.569728
13,0.002725,0.516582,0.002859,0.535688,0.675433,0.905398,0.564052
14,0.002627,0.530109,0.002668,0.563894,0.704173,0.917797,0.592116
15,0.002582,0.535678,0.002708,0.546397,0.686698,0.925384,0.571372
16,0.002529,0.546415,0.002675,0.566802,0.705681,0.921976,0.595992
17,0.002481,0.550098,0.002628,0.591125,0.727570,0.911449,0.625453
18,0.002449,0.550381,0.002678,0.598989,0.731982,0.895379,0.645362
19,0.002417,0.560670,0.002518,0.594268,0.730534,0.919203,0.625374
20,0.002359,0.567003,0.002642,0.612559,0.743894,0.890923,0.660598
21,0.002394,0.562409,0.002601,0.550003,0.691991,0.934454,0.570978
22,0.002346,0.571173,0.002619,0.574272,0.711487,0.916992,0.603558
23,0.002291,0.577955,0.002620,0.571949,0.707172,0.929380,0.596546
24,0.002307,0.574370,0.002639,0.612474,0.744288,0.906050,0.652719
25,0.002234,0.589351,0.002659,0.623153,0.752958,0.891906,0.670664
26,0.002283,0.578028,0.002557,0.597170,0.730580,0.927226,0.627405
27,0.002264,0.581004,0.002485,0.599552,0.734023,0.925280,0.629422
28,0.002231,0.590234,0.002594,0.583636,0.718996,0.931389,0.610879
29,0.002203,0.590427,0.002538,0.627287,0.756820,0.895706,0.675690
30,0.002164,0.594427,0.002486,0.616414,0.746409,0.924360,0.649202
