epoch,train_loss,train_iou,val_loss,val_iou,val_f1,val_precision,val_recall
1,0.809008,0.147626,0.686422,0.332681,0.485236,0.352781,0.843831
2,0.595298,0.352815,0.482931,0.448962,0.606075,0.491988,0.828588
3,0.430280,0.458714,0.353869,0.519134,0.672337,0.581563,0.824461
4,0.347002,0.504184,0.308718,0.572433,0.716952,0.678136,0.779561
5,0.306442,0.533747,0.284936,0.574760,0.718194,0.668626,0.801778
6,0.291375,0.539775,0.270293,0.551778,0.700739,0.611589,0.847173
7,0.272469,0.559226,0.247811,0.583468,0.726301,0.647933,0.847953
8,0.258062,0.575769,0.251865,0.558110,0.705896,0.609691,0.869015
9,0.252171,0.578101,0.240734,0.581932,0.724762,0.639456,0.858966
10,0.246519,0.581191,0.232708,0.617778,0.754398,0.709202,0.819817
11,0.242212,0.587243,0.231145,0.598505,0.738656,0.667008,0.848898
12,0.229284,0.601616,0.225268,0.629740,0.763620,0.729537,0.817305
13,0.224678,0.610017,0.219417,0.596358,0.739245,0.648916,0.874907
14,0.215650,0.618084,0.209863,0.633399,0.766636,0.710126,0.850140
15,0.214914,0.618329,0.216252,0.624017,0.759194,0.700632,0.845416
16,0.220262,0.613807,0.215741,0.612937,0.750461,0.675009,0.864132
17,0.210491,0.624576,0.212324,0.639932,0.770916,0.732199,0.831766
18,0.212451,0.621873,0.207790,0.634739,0.767949,0.712774,0.848382
19,0.212111,0.624501,0.203887,0.655508,0.783125,0.750567,0.832221
20,0.202074,0.636090,0.203429,0.660544,0.787683,0.766653,0.824211
21,0.202945,0.635352,0.202670,0.652419,0.780846,0.742989,0.838518
22,0.197470,0.641111,0.196450,0.649332,0.778896,0.723660,0.858461
23,0.196191,0.643087,0.202093,0.611928,0.751062,0.657818,0.893359
24,0.194649,0.645369,0.204769,0.644757,0.774930,0.731137,0.840619
25,0.192321,0.646329,0.193251,0.645390,0.776020,0.710058,0.871273
26,0.189606,0.651799,0.199964,0.647361,0.777467,0.727926,0.848179
27,0.182174,0.661596,0.187741,0.666979,0.792456,0.748582,0.854766
28,0.176661,0.670947,0.185811,0.670559,0.795150,0.752331,0.855221
29,0.178285,0.668351,0.186499,0.668044,0.792941,0.746901,0.857114
30,0.173529,0.674039,0.181512,0.675954,0.798870,0.754798,0.859817
