epoch,train_loss,train_iou,val_loss,val_iou,val_f1,val_precision,val_recall
1,0.678698,0.113552,0.456022,0.181005,0.298112,0.182284,0.955498
2,0.417623,0.197704,0.345230,0.241246,0.376455,0.243499,0.958407
3,0.354446,0.221115,0.315600,0.255893,0.395632,0.258463,0.954988
4,0.308413,0.243935,0.290415,0.297186,0.444632,0.301230,0.952322
5,0.279031,0.265318,0.267636,0.304304,0.452340,0.308208,0.955838
6,0.266589,0.272128,0.252887,0.345272,0.498463,0.350015,0.956022
7,0.246985,0.292033,0.266381,0.379582,0.535242,0.387935,0.943619
8,0.239721,0.291062,0.240994,0.341521,0.497014,0.345648,0.961231
9,0.231179,0.304398,0.241087,0.315658,0.468754,0.318685,0.966324
10,0.225994,0.310040,0.270370,0.311424,0.463733,0.314355,0.967280
11,0.222777,0.309957,0.258846,0.304386,0.451864,0.306916,0.968015
12,0.216109,0.316022,0.227267,0.370225,0.525688,0.374351,0.966911
13,0.209899,0.322356,0.229764,0.363180,0.519708,0.366918,0.964575
14,0.188939,0.342894,0.240527,0.375578,0.532728,0.379778,0.964908
15,0.177877,0.355438,0.231992,0.419773,0.578229,0.425386,0.962191
16,0.166185,0.364105,0.232875,0.415318,0.574215,0.420713,0.963596
17,0.166129,0.368415,0.250207,0.401376,0.560646,0.406963,0.959772
18,0.167172,0.367894,0.266303,0.386647,0.544014,0.392499,0.958363
19,0.165094,0.371041,0.244854,0.424955,0.584042,0.433028,0.956495
20,0.164031,0.369973,0.238625,0.396246,0.555388,0.400778,0.968243
21,0.160005,0.377179,0.256858,0.401653,0.562264,0.406257,0.965997
22,0.159582,0.377634,0.259877,0.416425,0.577038,0.421794,0.963632
23,0.152099,0.385302,0.251062,0.442313,0.602338,0.449330,0.958862
24,0.154835,0.383581,0.266282,0.422382,0.580970,0.427241,0.965147
25,0.151849,0.386392,0.239504,0.394943,0.553578,0.398606,0.970091
26,0.143469,0.393835,0.273971,0.439188,0.598049,0.445380,0.961184
27,0.141219,0.396354,0.265859,0.427562,0.586207,0.433902,0.962208
28,0.143465,0.399746,0.219366,0.434967,0.592066,0.440557,0.964280
29,0.144151,0.392095,0.249733,0.443521,0.602057,0.449881,0.959756
30,0.142571,0.395703,0.225877,0.445578,0.602576,0.451671,0.962669
